POS,First Name,Last Name,Nation,YOB,Start No.,Swim,T1,Bike,T2,Run,Time,Gender
7,Nina,Eim,GER,1998,23,00:10:16,00:01:18,00:30:00,00:00:23,00:16:51,00:58:45,Female
8,Emma,Lombardi,FRA,2001,7,00:09:58,00:01:22,00:30:15,00:00:23,00:16:50,00:58:46,Female
9,Verena,Steinhauser,ITA,1994,11,00:10:03,00:01:21,00:30:10,00:00:22,00:16:55,00:58:48,Female
10,Lisa,Tertsch,GER,1998,20,00:10:18,00:01:17,00:29:59,00:00:24,00:16:59,00:58:53,Female
11,Leonie,Periault,FRA,1994,17,00:09:58,00:01:23,00:30:18,00:00:26,00:16:55,00:58:57,Female
12,Miriam,Casillas García,ESP,1992,6,00:10:20,00:01:21,00:29:55,00:00:22,00:17:04,00:58:58,Female
13,Julia,Hauser,AUT,1994,22,00:10:01,00:01:25,00:30:11,00:00:28,00:16:59,00:59:01,Female
14,Claire,Michel,BEL,1988,52,00:10:08,00:01:26,00:30:05,00:00:24,00:17:06,00:59:06,Female
15,Georgia,Taylor-Brown,GBR,1994,1,00:09:58,00:01:25,00:30:13,00:00:25,00:17:10,00:59:08,Female
16,Rosa Maria,Tapia Vidal,MEX,1997,39,00:09:59,00:01:24,00:30:15,00:00:28,00:17:05,00:59:08,Female
17,Ainsley,Thorpe,NZL,1998,32,00:10:00,00:01:24,00:30:11,00:00:23,00:17:14,00:59:10,Female
18,Marlene,Gomez-Göggel,GER,1993,14,00:10:02,00:01:29,00:30:05,00:00:25,00:17:14,00:59:11,Female
19,Jaz,Hedgeland,AUS,1995,29,00:10:08,00:01:22,00:30:08,00:00:29,00:17:10,00:59:14,Female
20,Lisa,Perterer,AUT,1991,43,00:10:05,00:01:23,00:30:09,00:00:28,00:17:15,00:59:18,Female
21,Djenyfer,Arnold,BRA,1993,28,00:10:00,00:01:24,00:30:13,00:00:28,00:17:17,00:59:19,Female
22,Jeanne,Lehair,LUX,1996,27,00:10:10,00:01:23,00:30:12,00:00:23,00:17:15,00:59:20,Female
23,Anna,Godoy Contreras,ESP,1992,46,00:10:00,00:01:22,00:30:14,00:00:29,00:17:20,00:59:21,Female
24,Marta,Pintanel Raymundo,ESP,1999,56,00:10:00,00:01:21,00:30:16,00:00:23,00:17:26,00:59:23,Female
25,Kirsten,Kasper,USA,1991,8,00:09:53,00:01:20,00:30:21,00:00:24,00:17:32,00:59:28,Female
26,Natalie,Van Coevorden,AUS,1992,16,00:10:01,00:01:26,00:30:09,00:00:25,00:17:30,00:59:28,Female
27,Vittoria,Lopes,BRA,1996,15,00:09:29,00:01:26,00:29:55,00:00:25,00:18:17,00:59:28,Female
28,Solveig,Løvseth,NOR,1999,42,00:10:11,00:01:26,00:29:59,00:00:29,00:17:33,00:59:36,Female
29,Amelie,Kretz,CAN,1993,49,00:10:13,00:01:28,00:29:56,00:00:25,00:17:41,00:59:40,Female
30,Melanie,Santos,POR,1995,30,00:10:01,00:01:24,00:30:11,00:00:26,00:17:49,00:59:48,Female
31,Roksana,Slupek,POL,1999,45,00:10:01,00:01:26,00:30:09,00:00:25,00:17:59,00:59:56,Female
32,Kate,Waugh,GBR,1999,21,00:10:00,00:01:24,00:30:12,00:00:24,00:18:03,00:59:59,Female
33,Ilaria,Zane,ITA,1992,34,00:09:58,00:01:21,00:30:18,00:00:23,00:18:02,01:00:00,Female
34,Paulina,Klimas,POL,1995,37,00:10:05,00:01:23,00:30:08,00:00:28,00:18:00,01:00:01,Female
35,Emma,Jackson,AUS,1991,33,00:09:59,00:01:28,00:30:11,00:00:28,00:18:05,01:00:08,Female
36,Charlotte,McShane,AUS,1990,35,00:10:07,00:01:24,00:30:06,00:00:26,00:18:19,01:00:18,Female
37,Katie,Zaferes,USA,1989,61,00:10:07,00:01:27,00:30:06,00:00:33,00:18:10,01:00:21,Female
38,Zsanett,Kuttor-Bragmayer,HUN,1994,25,00:09:44,00:01:21,00:30:32,00:00:25,00:18:31,01:00:30,Female
39,Rachel,Klamer,NED,1990,24,00:10:01,00:01:27,00:30:12,00:00:28,00:18:34,01:00:38,Female
40,Anabel,Knoll,GER,1996,9,00:09:57,00:01:21,00:30:28,00:00:23,00:18:38,01:00:43,Female
41,Gina,Sereno,USA,1995,55,00:10:15,00:01:21,00:31:22,00:00:24,00:17:27,01:00:46,Female
42,Noelia,Juan,ESP,1996,57,00:10:20,00:01:24,00:31:12,00:00:23,00:17:36,01:00:52,Female
43,Yuko,Takahashi,JPN,1991,19,00:10:05,00:01:28,00:31:22,00:00:23,00:17:38,01:00:53,Female
44,Maria,Tomé,POR,2001,36,00:10:19,00:01:25,00:31:13,00:00:25,00:17:36,01:00:57,Female
45,Erica,Hawley,BER,1998,47,00:10:19,00:01:28,00:31:09,00:00:22,00:17:52,01:01:08,Female
46,Nora,Gmür,SUI,2001,53,00:10:05,00:01:23,00:30:26,00:00:26,00:18:54,01:01:11,Female
47,Emy,Legault,CAN,1996,18,00:10:06,00:01:22,00:31:28,00:00:24,00:17:58,01:01:15,Female
48,Jolien,Vermeylen,BEL,1994,41,00:09:57,00:01:28,00:31:35,00:00:25,00:17:58,01:01:20,Female
49,Petra,Kurikova,CZE,1991,38,00:10:05,00:01:25,00:31:30,00:00:29,00:17:58,01:01:23,Female
50,Sara,Guerrero Manso,ESP,1997,60,00:10:08,00:01:24,00:31:26,00:00:25,00:18:05,01:01:24,Female
1,Beth,Potter,GBR,1991,7,00:09:22,00:01:47,00:30:17,00:00:37,00:16:08,00:58:10,Female
2,Leonie,Periault,FRA,1994,25,00:09:09,00:01:55,00:30:25,00:00:38,00:16:08,00:58:12,Female
3,Summer,Rappaport,USA,1991,3,00:08:54,00:01:55,00:30:21,00:00:36,00:16:35,00:58:19,Female
4,Jeanne,Lehair,LUX,1996,6,00:09:23,00:01:50,00:30:14,00:00:38,00:16:25,00:58:28,Female
5,Katie,Zaferes,USA,1989,57,00:08:56,00:01:54,00:30:40,00:00:36,00:16:31,00:58:33,Female
6,Taylor,Knibb,USA,1998,10,00:08:52,00:02:01,00:30:18,00:00:39,00:16:49,00:58:36,Female
7,Georgia,Taylor-Brown,GBR,1994,2,00:09:00,00:01:51,00:30:34,00:00:39,00:16:44,00:58:45,Female
8,Zsanett,Kuttor-Bragmayer,HUN,1994,18,00:09:04,00:01:51,00:30:28,00:00:32,00:16:53,00:58:46,Female
9,Taylor,Spivey,USA,1991,1,00:08:59,00:01:52,00:30:35,00:00:36,00:16:51,00:58:51,Female
10,Maria Carolina,Velasquez Soto,COL,1997,47,00:09:25,00:01:48,00:30:13,00:00:39,00:16:50,00:58:54,Female
11,Laura,Lindemann,GER,1996,27,00:09:00,00:01:54,00:30:32,00:00:38,00:16:55,00:58:57,Female
12,Cathia,Schär,SUI,2001,21,00:09:30,00:01:54,00:30:00,00:00:35,00:17:01,00:58:57,Female
13,Sophie,Coldwell,GBR,1995,4,00:08:58,00:01:47,00:30:41,00:00:37,00:16:56,00:58:57,Female
14,Rosa Maria,Tapia Vidal,MEX,1997,5,00:09:00,00:01:50,00:30:36,00:00:40,00:16:59,00:59:02,Female
15,Kate,Waugh,GBR,1999,8,00:08:56,00:01:52,00:30:38,00:00:37,00:17:02,00:59:04,Female
16,Noelia,Juan,ESP,1996,34,00:09:22,00:01:52,00:30:13,00:00:36,00:17:03,00:59:05,Female
17,Dominika,Jamnicky,CAN,1992,48,00:09:25,00:01:47,00:30:13,00:00:36,00:17:07,00:59:06,Female
18,Kirsten,Kasper,USA,1991,9,00:08:56,00:01:55,00:30:35,00:00:37,00:17:09,00:59:10,Female
19,Lizeth,Rueda Santos,MEX,1994,26,00:08:57,00:01:56,00:30:33,00:00:37,00:17:11,00:59:11,Female
20,Claire,Michel,BEL,1988,14,00:09:10,00:01:58,00:30:23,00:00:39,00:17:11,00:59:18,Female
21,Erika,Ackerlund,USA,1996,20,00:09:23,00:01:53,00:30:11,00:00:37,00:17:21,00:59:24,Female
22,Vittoria,Lopes,BRA,1996,22,00:08:48,00:02:02,00:30:36,00:00:39,00:17:27,00:59:30,Female
23,Emma,Jackson,AUS,1991,41,00:08:58,00:01:58,00:30:33,00:00:41,00:17:31,00:59:39,Female
24,Sophie,Linn,AUS,1995,42,00:09:02,00:01:55,00:30:30,00:00:40,00:17:37,00:59:43,Female
25,Djenyfer,Arnold,BRA,1993,16,00:08:54,00:01:58,00:30:36,00:00:38,00:17:46,00:59:49,Female
26,Marta,Pintanel Raymundo,ESP,1999,30,00:09:12,00:02:03,00:30:47,00:00:36,00:17:16,00:59:52,Female
27,Yuko,Takahashi,JPN,1991,29,00:09:24,00:02:02,00:30:35,00:00:35,00:17:18,00:59:53,Female
28,Melanie,Santos,POR,1995,23,00:09:02,00:01:52,00:30:34,00:00:38,00:18:06,01:00:10,Female
29,Lena,Meißner,GER,1998,19,00:08:50,00:02:02,00:30:34,00:00:38,00:18:12,01:00:15,Female
30,Ainsley,Thorpe,NZL,1998,17,00:09:11,00:01:56,00:30:56,00:00:37,00:17:38,01:00:16,Female
31,Costanza,Arpinelli,ITA,2000,44,00:09:39,00:01:48,00:30:34,00:00:38,00:17:45,01:00:23,Female
32,Natalie,Van Coevorden,AUS,1992,11,00:08:53,00:02:00,00:31:09,00:00:37,00:17:48,01:00:25,Female
33,Annika,Koch,GER,1999,31,00:09:31,00:01:52,00:30:40,00:00:38,00:17:47,01:00:26,Female
34,Brea,Roderick,NZL,2002,28,00:09:08,00:01:54,00:30:24,00:00:35,00:18:31,01:00:30,Female
35,Yuka,Sato,JPN,1992,33,00:09:08,00:01:57,00:30:59,00:00:40,00:18:29,01:01:10,Female
36,Tanja,Stroschneider,AUT,1990,43,00:09:30,00:01:55,00:30:38,00:00:42,00:18:29,01:01:12,Female
37,Lotte,Miller,NOR,1996,55,00:09:27,00:02:02,00:30:33,00:00:42,00:18:41,01:01:23,Female
38,Jaz,Hedgeland,AUS,1995,12,00:09:20,00:01:56,00:32:21,00:00:36,00:17:28,01:01:38,Female
39,Cecilia,Perez,MEX,1991,46,00:09:19,00:02:05,00:32:13,00:00:37,00:17:46,01:01:57,Female
40,Emy,Legault,CAN,1996,39,00:09:29,00:01:51,00:32:17,00:00:36,00:17:51,01:02:01,Female
41,Carlotta,Missaglia,ITA,1999,36,00:09:27,00:01:55,00:30:40,00:00:35,00:19:34,01:02:08,Female
42,Nicole,Van Der Kaay,NZL,1996,15,00:09:31,00:01:49,00:32:36,00:00:39,00:17:43,01:02:16,Female
43,Chisato,Nakajima,JPN,2003,52,00:09:29,00:01:58,00:32:09,00:00:37,00:18:07,01:02:18,Female
44,Shanae,Williams,RSA,1998,40,00:09:21,00:00:00,00:00:00,00:00:00,00:00:00,01:02:22,Female
45,Anabel,Knoll,GER,1996,32,00:09:15,00:01:59,00:32:42,00:00:37,00:17:56,01:02:27,Female
46,Karolina Helga,Horváth,HUN,2002,56,00:09:07,00:02:12,00:32:36,00:00:40,00:18:16,01:02:50,Female
47,Kira,Hedgeland,AUS,1998,35,00:09:16,00:01:56,00:32:26,00:00:38,00:18:40,01:02:54,Female
48,Luisa,Baptista,BRA,1994,38,00:09:27,00:01:57,00:32:13,00:00:39,00:18:42,01:02:56,Female
49,Margot,Garabedian,CAM,1996,53,00:09:06,00:01:54,00:32:39,00:00:42,00:18:48,01:03:07,Female
50,Rani,Skrabanja,NED,1998,50,00:09:27,00:02:07,00:32:22,00:00:37,00:18:49,01:03:20,Female
1,Cassandre,Beaugrand,FRA,1997,3,00:10:02,00:00:30,00:29:05,00:00:23,00:15:20,00:55:19,Female
2,Lisa,Tertsch,GER,1998,2,00:10:00,00:00:29,00:29:04,00:00:22,00:15:36,00:55:30,Female
3,Beth,Potter,GBR,1991,6,00:10:03,00:00:32,00:29:02,00:00:24,00:15:32,00:55:31,Female
4,Jeanne,Lehair,LUX,1996,7,00:09:53,00:00:32,00:29:15,00:00:24,00:15:32,00:55:33,Female
5,Emma,Lombardi,FRA,2001,1,00:10:09,00:00:31,00:28:55,00:00:23,00:15:39,00:55:35,Female
6,Annika,Koch,GER,1999,25,00:10:03,00:00:31,00:29:00,00:00:24,00:15:48,00:55:45,Female
7,Kate,Waugh,GBR,1999,4,00:10:05,00:00:32,00:28:58,00:00:27,00:15:48,00:55:48,Female
8,Cathia,Schär,SUI,2001,28,00:10:25,00:00:32,00:28:38,00:00:24,00:16:03,00:56:00,Female
9,Rachel,Klamer,NED,1990,16,00:10:14,00:00:33,00:28:51,00:00:24,00:16:11,00:56:12,Female
10,Marlene,Gomez-Göggel,GER,1993,18,00:10:08,00:00:31,00:28:57,00:00:25,00:16:18,00:56:17,Female
11,Jolien,Vermeylen,BEL,1994,14,00:09:57,00:00:32,00:29:13,00:00:22,00:16:17,00:56:20,Female
12,Anna,Godoy Contreras,ESP,1992,5,00:10:02,00:00:33,00:29:05,00:00:25,00:16:19,00:56:22,Female
13,Maya,Kingma,NED,1995,21,00:10:20,00:00:36,00:28:39,00:00:28,00:16:24,00:56:24,Female
14,Erika,Ackerlund,USA,1996,42,00:10:05,00:00:32,00:29:00,00:00:22,00:16:30,00:56:27,Female
15,Lena,Meißner,GER,1998,38,00:10:02,00:00:35,00:28:58,00:00:22,00:16:35,00:56:30,Female
16,Jolanda,Annen,SUI,1992,33,00:10:15,00:00:33,00:28:53,00:00:25,00:16:26,00:56:31,Female
17,Anabel,Knoll,GER,1996,51,00:10:09,00:00:32,00:28:55,00:00:20,00:16:38,00:56:34,Female
18,Ainsley,Thorpe,NZL,1998,15,00:10:04,00:00:32,00:29:01,00:00:22,00:16:39,00:56:36,Female
19,Olivia,Mathias,GBR,1998,32,00:09:54,00:00:33,00:29:07,00:00:24,00:16:43,00:56:39,Female
20,Melanie,Santos,POR,1995,17,00:10:04,00:00:37,00:29:00,00:00:25,00:16:40,00:56:44,Female
21,Sophie,Linn,AUS,1995,20,00:10:01,00:00:33,00:29:03,00:00:25,00:16:48,00:56:47,Female
22,Natalie,Van Coevorden,AUS,1992,31,00:10:09,00:00:34,00:28:57,00:00:24,00:16:47,00:56:49,Female
23,Selina,Klamt,GER,2001,41,00:10:00,00:00:34,00:29:07,00:00:25,00:16:47,00:56:50,Female
24,Katie,Zaferes,USA,1989,10,00:10:12,00:00:38,00:28:53,00:00:27,00:16:52,00:57:00,Female
25,Tanja,Neubert,GER,2000,44,00:10:37,00:00:30,00:29:23,00:00:24,00:16:09,00:57:01,Female
26,Claire,Michel,BEL,1988,19,00:10:11,00:00:34,00:29:49,00:00:26,00:16:16,00:57:14,Female
27,Nicole,Van Der Kaay,NZL,1996,22,00:10:23,00:00:36,00:29:33,00:00:27,00:16:17,00:57:15,Female
28,Therese,Feuersinger,AUT,1998,52,00:09:51,00:00:32,00:29:14,00:00:23,00:17:23,00:57:21,Female
29,Brea,Roderick,NZL,2002,48,00:09:59,00:00:33,00:29:04,00:00:21,00:17:30,00:57:25,Female
30,Verena,Steinhauser,ITA,1994,9,00:10:24,00:00:35,00:29:32,00:00:26,00:16:42,00:57:37,Female
31,Cecilia,Santamaria Surroca,ESP,1997,23,00:10:04,00:00:33,00:29:58,00:00:24,00:16:49,00:57:45,Female
32,Karolina Helga,Horváth,HUN,2002,56,00:10:19,00:00:32,00:29:41,00:00:26,00:16:52,00:57:49,Female
33,Gwen,Jorgensen,USA,1986,11,00:10:08,00:00:36,00:30:49,00:00:29,00:15:50,00:57:51,Female
34,Noelia,Juan,ESP,1996,34,00:10:35,00:00:31,00:29:25,00:00:25,00:17:05,00:57:58,Female
35,Barbara,De Koning,NED,2002,47,00:10:26,00:00:33,00:29:34,00:00:24,00:17:09,00:58:04,Female
36,Alberte,Kjær Pedersen,DEN,1998,27,00:10:26,00:00:32,00:30:35,00:00:23,00:16:17,00:58:11,Female
37,Marta,Pintanel Raymundo,ESP,1999,29,00:10:12,00:00:32,00:29:49,00:00:24,00:17:16,00:58:12,Female
38,Summer,Rappaport,USA,1991,37,00:09:56,00:00:35,00:31:07,00:00:29,00:16:33,00:58:38,Female
39,Yuko,Takahashi,JPN,1991,30,00:10:20,00:00:34,00:30:38,00:00:23,00:16:52,00:58:45,Female
40,Miyu,Sakai,JPN,1999,50,00:10:02,00:00:33,00:29:56,00:00:22,00:18:07,00:58:59,Female
41,Gina,Sereno,USA,1995,39,00:10:11,00:00:34,00:32:01,00:00:29,00:16:24,00:59:37,Female
42,Jessica,Fullagar,GBR,2000,49,00:10:06,00:00:33,00:30:56,00:00:23,00:17:50,00:59:47,Female
43,Ellie,Hoitink,AUS,2000,26,00:10:44,00:00:32,00:31:29,00:00:23,00:16:51,00:59:58,Female
44,Marcela,Alvarez Solis,MEX,2003,54,00:10:26,00:00:31,00:31:45,00:00:22,00:17:01,01:00:03,Female
45,Elizabeth,Bravo,ECU,1987,40,00:10:28,00:00:33,00:31:44,00:00:23,00:17:00,01:00:06,Female
46,Ekaterina,Shabalina,KAZ,1998,46,00:10:35,00:00:34,00:31:38,00:00:26,00:16:58,01:00:09,Female
47,Yuka,Sato,JPN,1992,35,00:10:13,00:00:34,00:30:49,00:00:29,00:18:12,01:00:14,Female
48,Manami,Iijima,GUM,1992,53,00:10:15,00:00:35,00:31:56,00:00:28,00:17:31,01:00:43,Female
49,Sinem Francisca,Tous Servera,TUR,1992,43,00:10:27,00:00:33,00:31:49,00:00:24,00:17:35,01:00:45,Female
50,Romina,Biagioli,ARG,1989,45,00:10:25,00:00:35,00:31:47,00:00:24,00:18:09,01:01:19,Female
1,Laura,Lindemann,GER,1996,1,00:09:15,00:00:39,00:31:44,00:00:25,00:16:16,00:58:17,Female
2,Nicole,Van Der Kaay,NZL,1996,8,00:09:28,00:00:42,00:31:31,00:00:24,00:16:19,00:58:21,Female
3,Summer,Rappaport,USA,1991,3,00:09:12,00:00:47,00:31:43,00:00:25,00:16:20,00:58:26,Female
4,Zsanett,Kuttor-Bragmayer,HUN,1994,15,00:09:28,00:00:40,00:31:32,00:00:23,00:16:32,00:58:34,Female
5,Sian,Rainsley,GBR,1997,7,00:09:20,00:00:44,00:31:34,00:00:27,00:16:33,00:58:36,Female
6,Marlene,Gomez-Göggel,GER,1993,11,00:09:26,00:00:47,00:31:25,00:00:25,00:16:36,00:58:37,Female
7,Kirsten,Kasper,USA,1991,4,00:09:19,00:00:40,00:31:36,00:00:26,00:16:41,00:58:41,Female
8,Alice,Betto,ITA,1987,2,00:09:24,00:00:48,00:31:28,00:00:25,00:16:40,00:58:43,Female
9,Kate,Waugh,GBR,1999,41,00:09:29,00:00:42,00:31:26,00:00:27,00:16:43,00:58:46,Female
10,Erika,Ackerlund,USA,1996,22,00:09:22,00:00:44,00:31:34,00:00:25,00:16:44,00:58:48,Female
11,Anabel,Knoll,GER,1996,9,00:09:24,00:00:43,00:31:30,00:00:23,00:16:55,00:58:53,Female
12,Olivia,Mathias,GBR,1998,21,00:09:13,00:00:40,00:31:44,00:00:24,00:16:57,00:58:57,Female
13,Verena,Steinhauser,ITA,1994,6,00:09:26,00:00:45,00:31:27,00:00:25,00:16:56,00:58:57,Female
14,Alberte,Kjær Pedersen,DEN,1998,33,00:09:52,00:00:38,00:31:50,00:00:23,00:16:19,00:59:00,Female
15,Natalie,Van Coevorden,AUS,1992,5,00:09:20,00:00:45,00:31:34,00:00:28,00:16:57,00:59:01,Female
16,Nina,Eim,GER,1998,18,00:09:37,00:00:45,00:31:58,00:00:31,00:16:20,00:59:09,Female
17,Lisa,Tertsch,GER,1998,30,00:09:57,00:00:39,00:31:44,00:00:25,00:16:26,00:59:10,Female
18,Ainsley,Thorpe,NZL,1998,24,00:09:27,00:00:43,00:31:29,00:00:24,00:17:14,00:59:15,Female
19,Lena,Meißner,GER,1998,31,00:09:23,00:00:43,00:31:33,00:00:26,00:17:21,00:59:23,Female
20,Annika,Koch,GER,1999,32,00:09:51,00:00:40,00:31:49,00:00:27,00:16:46,00:59:30,Female
21,Kyleigh,Spearing,USA,1998,44,00:09:28,00:00:41,00:31:31,00:00:26,00:17:36,00:59:40,Female
22,Quinty,Schoens,NED,1999,34,00:09:50,00:00:40,00:31:49,00:00:25,00:17:00,00:59:43,Female
23,Jolanda,Annen,SUI,1992,12,00:09:29,00:00:44,00:32:08,00:00:25,00:17:02,00:59:46,Female
24,Vendula,Frintova,CZE,1983,17,00:09:36,00:00:50,00:31:56,00:00:30,00:16:58,00:59:47,Female
25,Julia,Hauser,AUT,1994,10,00:09:38,00:00:44,00:31:59,00:00:28,00:17:06,00:59:54,Female
26,Rani,Skrabanja,NED,1998,29,00:09:23,00:00:41,00:31:35,00:00:27,00:17:53,00:59:57,Female
27,Jeanne,Lehair,FRA,1996,19,00:09:38,00:00:44,00:31:59,00:00:24,00:17:17,00:59:59,Female
28,Kira,Hedgeland,AUS,1998,23,00:09:32,00:00:47,00:32:03,00:00:25,00:17:27,01:00:13,Female
29,Emma,Jackson,AUS,1991,16,00:09:25,00:00:49,00:32:07,00:00:26,00:17:46,01:00:33,Female
30,Ai,Ueda,JPN,1983,28,00:10:00,00:00:43,00:32:45,00:00:27,00:16:43,01:00:36,Female
31,Barbara,De Koning,NED,2002,48,00:09:28,00:00:45,00:32:13,00:00:24,00:17:51,01:00:38,Female
32,Charlotte,McShane,AUS,1990,25,00:09:55,00:00:43,00:32:49,00:00:29,00:16:53,01:00:47,Female
33,Paulina,Klimas,POL,1995,42,00:09:53,00:00:43,00:32:50,00:00:27,00:16:59,01:00:51,Female
34,Roksana,Slupek,POL,1999,40,00:09:59,00:00:42,00:32:46,00:00:28,00:17:03,01:00:56,Female
35,Emy,Legault,CAN,1996,38,00:10:02,00:00:39,00:32:51,00:00:24,00:17:17,01:01:10,Female
36,Jolien,Vermeylen,BEL,1994,47,00:09:36,00:00:41,00:33:14,00:00:25,00:17:20,01:01:13,Female
37,Dominika,Jamnicky,CAN,1992,36,00:10:02,00:00:40,00:32:45,00:00:25,00:17:25,01:01:15,Female
38,Shanae,Williams,RSA,1998,43,00:09:55,00:00:43,00:32:54,00:00:26,00:17:28,01:01:23,Female
39,Nora,Gmür,SUI,2001,46,00:10:01,00:00:48,00:33:21,00:00:23,00:17:23,01:01:55,Female
40,Zuzana,Michalickova,SVK,2002,49,00:09:41,00:00:41,00:33:07,00:00:24,00:18:06,01:01:57,Female
41,Alicja,Ulatowska,POL,1996,37,00:09:57,00:00:45,00:32:44,00:00:32,00:18:07,01:02:03,Female
42,Alzbeta,Hruskova,CZE,2000,26,00:09:48,00:00:40,00:31:54,00:00:25,00:19:17,01:02:03,Female
43,Hanne,De Vet,BEL,1998,27,00:09:59,00:00:45,00:32:43,00:00:27,00:18:29,01:02:20,Female
44,Julia,Sanecka,POL,2001,50,00:10:01,00:00:38,00:32:48,00:00:27,00:18:29,01:02:22,Female
45,Stine,Dale,NOR,1998,45,00:10:03,00:00:48,00:33:21,00:00:30,00:18:50,01:03:29,Female
46,Aoi,Kuramoto,JPN,1988,35,00:09:53,00:00:42,00:35:51,00:00:35,00:18:38,01:05:36,Female
1,Matthew,Hauser,AUS,1998,4,00:08:02,00:01:42,00:29:10,00:00:32,00:14:23,00:53:47,Male
2,Manoel,Messias,BRA,1996,10,00:08:32,00:01:40,00:28:44,00:00:36,00:14:29,00:53:58,Male
3,Jelle,Geens,BEL,1993,8,00:08:29,00:01:44,00:28:40,00:00:34,00:14:38,00:54:02,Male
4,Tim,Hellwig,GER,1999,49,00:08:06,00:01:42,00:29:04,00:00:35,00:14:37,00:54:03,Male
5,Kristian,Blummenfelt,NOR,1994,5,00:08:36,00:01:44,00:28:32,00:00:36,00:14:40,00:54:05,Male
6,Bence,Bicsák,HUN,1995,16,00:08:22,00:01:45,00:28:46,00:00:32,00:14:45,00:54:07,Male
7,Charles,Paquet,CAN,1997,39,00:08:22,00:01:42,00:28:50,00:00:40,00:14:39,00:54:10,Male
8,Roberto,Sanchez Mantecon,ESP,1996,7,00:08:38,00:01:40,00:28:33,00:00:31,00:14:53,00:54:15,Male
9,Marten,Van Riel,BEL,1992,6,00:08:11,00:01:39,00:29:03,00:00:34,00:14:53,00:54:18,Male
10,Kenji,Nener,JPN,1993,3,00:08:04,00:01:44,00:29:04,00:00:34,00:14:55,00:54:19,Male
11,Jacob,Birtwhistle,AUS,1995,26,00:08:30,00:01:49,00:28:35,00:00:34,00:15:00,00:54:26,Male
12,Jonas,Schomburg,GER,1994,2,00:08:09,00:01:45,00:29:00,00:00:33,00:15:06,00:54:30,Male
13,Joao,Pereira,POR,1987,34,00:08:17,00:01:40,00:28:58,00:00:37,00:15:04,00:54:33,Male
14,Dylan,McCullough,NZL,2001,18,00:08:23,00:01:49,00:28:43,00:00:34,00:15:09,00:54:36,Male
15,Tyler,Mislawchuk,CAN,1994,9,00:08:21,00:01:43,00:28:51,00:00:38,00:15:08,00:54:39,Male
16,Jawad,Abdelmoula,MAR,1994,44,00:08:30,00:01:49,00:28:34,00:00:38,00:15:15,00:54:43,Male
17,Jonathan,Brownlee,GBR,1990,19,00:08:14,00:01:46,00:28:53,00:00:34,00:15:22,00:54:46,Male
18,Jannik,Schaufler,GER,1997,31,00:08:18,00:01:46,00:28:51,00:00:35,00:15:23,00:54:52,Male
19,Diego,Moya,CHI,1998,32,00:08:13,00:01:43,00:29:01,00:00:35,00:15:26,00:54:56,Male
20,Tayler,Reid,NZL,1996,23,00:08:13,00:01:45,00:28:58,00:00:34,00:15:31,00:54:58,Male
21,Brandon,Copeland,AUS,1996,28,00:08:15,00:01:41,00:28:58,00:00:34,00:15:35,00:55:00,Male
22,Tjebbe,Kaindl,AUT,1999,51,00:08:29,00:01:41,00:28:47,00:00:33,00:15:34,00:55:01,Male
23,Antonio,Serrat Seoane,ESP,1995,17,00:08:17,00:01:43,00:28:57,00:00:36,00:15:32,00:55:03,Male
24,Takumi,Hojo,JPN,1996,24,00:08:13,00:01:46,00:28:53,00:00:34,00:15:43,00:55:07,Male
25,Jumpei,Furuya,JPN,1991,33,00:08:32,00:01:39,00:28:43,00:00:35,00:15:48,00:55:15,Male
26,Itamar,Eshed,ISR,2000,56,00:08:34,00:01:46,00:28:33,00:00:40,00:15:47,00:55:18,Male
27,Gábor,Faldum,HUN,1988,25,00:08:16,00:01:46,00:28:52,00:00:35,00:15:58,00:55:24,Male
28,Nicolò,Strada,ITA,2000,36,00:08:04,00:01:48,00:29:01,00:00:38,00:16:04,00:55:33,Male
29,Miguel,Hidalgo,BRA,2000,14,00:08:17,00:01:51,00:28:49,00:00:37,00:16:11,00:55:43,Male
30,Vasco,Vilaca,POR,1999,1,00:08:14,00:01:46,00:29:40,00:00:39,00:15:30,00:55:46,Male
31,Alessio,Crociani,ITA,2001,43,00:08:14,00:01:50,00:29:55,00:00:32,00:15:22,00:55:50,Male
32,Gustav,Iden,NOR,1996,35,00:08:37,00:01:46,00:28:32,00:00:36,00:16:26,00:55:55,Male
33,David,Castro Fajardo,ESP,1993,12,00:08:10,00:01:40,00:30:26,00:00:38,00:15:16,00:56:09,Male
34,Chase,McQueen,USA,1998,46,00:08:06,00:01:48,00:28:58,00:00:35,00:16:50,00:56:16,Male
35,Nicola,Azzano,ITA,1997,38,00:08:12,00:01:45,00:30:00,00:00:32,00:15:55,00:56:23,Male
36,Tamás,Tóth,HUN,1989,55,00:08:35,00:01:44,00:29:38,00:00:37,00:15:55,00:56:27,Male
37,Martin,Sobey,CAN,1996,29,00:08:32,00:01:45,00:29:42,00:00:36,00:16:21,00:56:55,Male
38,Irving,Perez,MEX,1986,45,00:08:34,00:01:45,00:30:15,00:00:37,00:15:50,00:56:59,Male
39,Rodrigo,Gonzalez Lopez,MEX,1989,47,00:08:41,00:01:39,00:30:47,00:00:35,00:15:24,00:57:04,Male
40,Callum,McClusky,AUS,1998,37,00:08:37,00:01:41,00:30:16,00:00:36,00:16:14,00:57:22,Male
