POS,First Name,Last Name,Nation,YOB,Start No.,Swim,T1,Bike,T2,Run,Time,Gender
44,Youri,Keulen,NED,1998,45,00:09:12,00:00:43,00:31:48,00:00:28,00:16:08,00:58:17,Male
45,Jesse,Cuijpers,NED,2002,53,00:08:50,00:00:40,00:31:07,00:00:28,00:17:22,00:58:24,Male
46,Jonathan,Wayaffe,BEL,1995,46,00:09:31,00:00:49,00:31:56,00:00:28,00:15:54,00:58:35,Male
47,Gjalt,Panjer,NED,2002,51,00:09:18,00:00:53,00:32:04,00:00:25,00:16:41,00:59:19,Male
48,Mateusz,Gluszkowski,POL,2001,55,00:08:44,00:00:37,00:31:16,00:00:25,00:21:50,01:02:50,Male
DNS,Marcin,Stanglewicz,POL,2002,50,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,Male
DNS,Florin,Salvisberg,SUI,1990,11,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,Male
1,Cassandre,Beaugrand,FRA,1997,1,00:09:20,00:00:41,00:33:09,00:00:35,00:16:10,00:59:53,Female
2,Emma,Lombardi,FRA,2001,2,00:09:28,00:00:41,00:32:58,00:00:34,00:16:33,01:00:11,Female
3,Annika,Koch,GER,1999,9,00:09:31,00:00:41,00:32:55,00:00:38,00:16:34,01:00:17,Female
4,Leonie,Periault,FRA,1994,7,00:09:45,00:00:47,00:32:39,00:00:38,00:16:35,01:00:22,Female
5,Marlene,Gomez-Göggel,GER,1993,6,00:09:39,00:00:49,00:32:42,00:00:39,00:16:38,01:00:25,Female
6,Rachel,Klamer,NED,1990,20,00:09:39,00:00:45,00:32:44,00:00:35,00:16:49,01:00:30,Female
7,Julie,Derron,SUI,1996,48,00:09:43,00:00:47,00:32:37,00:00:36,00:16:52,01:00:34,Female
8,Nicole,Van Der Kaay,NZL,1996,3,00:09:33,00:00:44,00:32:54,00:00:38,00:16:52,01:00:38,Female
9,Cathia,Schär,SUI,2001,4,00:09:56,00:00:46,00:32:26,00:00:35,00:17:02,01:00:43,Female
10,Melanie,Santos,POR,1995,22,00:09:35,00:00:49,00:32:47,00:00:37,00:17:00,01:00:46,Female
11,Yuko,Takahashi,JPN,1991,24,00:09:39,00:00:46,00:32:42,00:00:37,00:17:12,01:00:54,Female
12,Jolien,Vermeylen,BEL,1994,21,00:09:29,00:00:47,00:32:58,00:00:38,00:17:06,01:00:56,Female
13,Erika,Ackerlund,USA,1996,19,00:09:48,00:00:45,00:32:35,00:00:41,00:17:11,01:00:58,Female
14,Lizeth,Rueda Santos,MEX,1994,18,00:09:30,00:00:44,00:32:54,00:00:44,00:17:11,01:01:02,Female
15,Anabel,Knoll,GER,1996,25,00:09:44,00:00:46,00:32:43,00:00:37,00:17:19,01:01:07,Female
16,Miriam,Casillas García,ESP,1992,8,00:09:56,00:00:50,00:32:23,00:00:37,00:17:31,01:01:15,Female
